Cohort Date Range,Pharmacy Name,NPI,Start_Date,End_Date
Inception-TBD,ASP CARES HOUSTON,1922756451,Inception,TBD
Inception-04/04/2025,LIFETIME RX INC,1023719903,Inception,04/04/2025
Inception-10/31/2025,LIVE OAK PHARMACY,1174003552,Inception,10/31/2025
Inception-03/06/2026,ELIXIRX APOTHECARY,1407430911,Inception,03/06/2026
Inception-10/31/2025,SILVER PHARMACY,1174089734,Inception,10/31/2025
Inception-01/03/2025,ROCKVILLE RX INC,1639838519,Inception,01/03/2025
Inception-10/31/2025,ATX PHARMACY,1750098000,Inception,10/31/2025
Inception-01/03/2025,DAS PHARMACY,1336665827,Inception,01/03/2025
Inception-10/31/2025,NORTH BRONX PHARMACY,1770170748,Inception,10/31/2025
Inception-01/03/2025,STAR CARE PHARMACY,1073996922,Inception,01/03/2025
Inception-01/03/2025,POD PHARMACY,1386271989,Inception,01/03/2025
Inception-TBD,WESTBURY DRUG CORP,1821656166,Inception,TBD
Inception-01/03/2025,BARON DRUGS,1851498786,Inception,01/03/2025
Inception-TBD,Propel Pharmacy,1073965729,Inception,TBD
Inception-01/03/2025,INTERPHARM RX,1477277655,Inception,01/03/2025
Inception-01/03/2025,JOSEY PHARMACY,1316565880,Inception,01/03/2025
Inception-01/03/2025,VILLAGE PHARMACY,1649695800,Inception,01/03/2025
Inception-01/03/2025,ACROSS SPECIALTY PHARMACY,1275142614,Inception,01/03/2025
Inception-04/04/2025,LIFE LINE PHARMACY 1,1275240780,Inception,04/04/2025
Inception-01/03/2025,PARK PLACE PHARMACY,1336433473,Inception,01/03/2025
Inception-TBD,RX UNIVERSAL LLC,1952946816,Inception,TBD
Inception-10/31/2025,MATAWAN PHARMACY,1871975037,Inception,10/31/2025
Inception-TBD,LAKE PHARMACY,1508164351,Inception,TBD
Inception-10/31/2025,TOWERS PHARMACY,1942393384,Inception,10/31/2025
Inception-01/03/2025,ASPCARES,1649653874,Inception,01/03/2025
Inception-TBD,PILLMART,1730703661,Inception,TBD
Inception-01/03/2025,WE CARE PHARMACY 1,1427490283,Inception,01/03/2025
Inception-TBD,Anchor Plus Pharmacy,1043782998,Inception,TBD
